epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,65.7844,1.34666,1.55776,1.28197,0.81042,0.58982,0.65377,0.41137,1.22477,0.93311,1.1655,0.00332572,0.00332572,0.0700685
2,130.852,1.23919,0.99101,1.15773,0.86921,0.63962,0.70284,0.44484,1.18251,0.82466,1.11612,0.00659313,0.00659313,0.0400026
3,195.423,1.26061,0.97404,1.153,0.87674,0.62736,0.69285,0.43157,1.22292,0.83757,1.14248,0.00979454,0.00979454,0.00987064
4,259.929,1.29158,0.98533,1.17318,0.87164,0.64484,0.70021,0.43164,1.23189,0.84268,1.148,0.009703,0.009703,0.009703
5,324.395,1.28857,0.97003,1.17344,0.87133,0.63806,0.69662,0.42888,1.26086,0.82535,1.16093,0.009604,0.009604,0.009604
6,388.661,1.28057,0.94122,1.16704,0.89983,0.65853,0.72145,0.44854,1.21245,0.75926,1.12857,0.009505,0.009505,0.009505
7,453.136,1.25715,0.90987,1.15277,0.74723,0.66206,0.72613,0.45407,1.20827,0.76155,1.12532,0.009406,0.009406,0.009406
8,517.569,1.25171,0.90363,1.14945,0.75359,0.66968,0.72644,0.46107,1.18686,0.75518,1.11911,0.009307,0.009307,0.009307
9,581.78,1.23807,0.87911,1.1498,0.7442,0.67152,0.72938,0.46003,1.19279,0.74746,1.12423,0.009208,0.009208,0.009208
10,646.169,1.23642,0.8712,1.14116,0.9052,0.67353,0.735,0.46762,1.1877,0.71657,1.11516,0.009109,0.009109,0.009109
11,710.546,1.2304,0.84693,1.13608,0.90221,0.68336,0.74141,0.47213,1.17059,0.70849,1.10669,0.00901,0.00901,0.00901
12,774.952,1.21451,0.84453,1.13102,0.90458,0.68492,0.74133,0.46729,1.19079,0.71572,1.11372,0.008911,0.008911,0.008911
13,839.182,1.21266,0.83199,1.12997,0.90363,0.69185,0.74421,0.4783,1.16155,0.68738,1.10156,0.008812,0.008812,0.008812
14,903.508,1.20142,0.81115,1.12152,0.9008,0.68297,0.74109,0.47174,1.16615,0.69531,1.10159,0.008713,0.008713,0.008713
15,967.997,1.19783,0.80823,1.11661,0.9052,0.69306,0.74877,0.48262,1.15235,0.68536,1.09705,0.008614,0.008614,0.008614
16,1032.38,1.1976,0.80669,1.12533,0.76958,0.68808,0.74958,0.48146,1.15565,0.67979,1.09489,0.008515,0.008515,0.008515
17,1096.8,1.18668,0.80035,1.11783,0.91816,0.6935,0.75116,0.48274,1.15646,0.67124,1.09724,0.008416,0.008416,0.008416
18,1161.08,1.18353,0.79032,1.11364,0.90295,0.7055,0.75506,0.48503,1.14834,0.65373,1.08933,0.008317,0.008317,0.008317
19,1225.44,1.17064,0.77856,1.10782,0.76746,0.69968,0.75179,0.48606,1.14626,0.6594,1.09508,0.008218,0.008218,0.008218
20,1289.84,1.16518,0.7757,1.10872,0.90887,0.702,0.7545,0.48799,1.14846,0.65475,1.08875,0.008119,0.008119,0.008119
21,1353.98,1.17545,0.77469,1.11314,0.76771,0.70481,0.75492,0.48809,1.14134,0.64684,1.08666,0.00802,0.00802,0.00802
22,1418.35,1.16658,0.77306,1.10425,0.76843,0.69625,0.75406,0.49153,1.13602,0.65111,1.08736,0.007921,0.007921,0.007921
23,1482.64,1.15812,0.75988,1.10076,0.91197,0.70243,0.75845,0.49226,1.13422,0.64215,1.08154,0.007822,0.007822,0.007822
