epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,240.349,1.29341,1.17791,1.09699,0.72097,0.54329,0.57387,0.33736,1.17896,0.66712,1.02853,0.00333026,0.00333026,0.0700277
2,473.815,1.28605,0.80561,1.06214,0.65995,0.60283,0.6026,0.35564,1.18625,0.69089,1.02378,0.00659762,0.00659762,0.0399617
3,705.575,1.35324,0.87145,1.08018,0.72685,0.56758,0.60401,0.34253,1.26809,0.7725,1.05246,0.00979898,0.00979898,0.00982976
4,935.863,1.38786,0.91044,1.09836,0.66075,0.59294,0.60974,0.34468,1.25708,0.75469,1.04876,0.009703,0.009703,0.009703
5,1166.37,1.34131,0.84859,1.0854,0.70178,0.60796,0.64156,0.3696,1.21787,0.73627,1.03819,0.009604,0.009604,0.009604
6,1394.95,1.30913,0.80259,1.0724,0.74451,0.61623,0.66528,0.39136,1.19625,0.67629,1.0343,0.009505,0.009505,0.009505
7,1623.26,1.28322,0.77914,1.062,0.70464,0.67049,0.66723,0.39365,1.16341,0.65344,1.02035,0.009406,0.009406,0.009406
8,1851.14,1.27663,0.75485,1.06113,0.72788,0.64785,0.67776,0.39781,1.16601,0.64024,1.02272,0.009307,0.009307,0.009307
9,2079.28,1.24557,0.73754,1.0477,0.74296,0.66238,0.69059,0.41065,1.14155,0.6149,1.01698,0.009208,0.009208,0.009208
10,2307.35,1.2523,0.7316,1.0518,0.71805,0.67895,0.69619,0.41951,1.13061,0.62135,1.00717,0.009109,0.009109,0.009109
11,2535.16,1.22605,0.70166,1.04358,0.75262,0.66923,0.70751,0.43702,1.11117,0.60407,1.00354,0.00901,0.00901,0.00901
12,2762.9,1.21419,0.69105,1.03984,0.79455,0.67969,0.72442,0.44287,1.10551,0.58059,1.00404,0.008911,0.008911,0.008911
13,2990.3,1.19329,0.67433,1.03057,0.69835,0.69344,0.7091,0.42988,1.11696,0.59015,1.0038,0.008812,0.008812,0.008812
14,3217.04,1.19499,0.66927,1.03076,0.74822,0.69094,0.72053,0.43749,1.09696,0.58523,0.99575,0.008713,0.008713,0.008713
15,3443.91,1.18266,0.66265,1.02655,0.79139,0.70966,0.74384,0.4514,1.08704,0.56075,0.99442,0.008614,0.008614,0.008614
16,3671,1.16749,0.65181,1.02058,0.77372,0.71537,0.73922,0.44983,1.07353,0.55923,0.98627,0.008515,0.008515,0.008515
17,3898.9,1.1612,0.64245,1.02206,0.78463,0.72283,0.75314,0.46279,1.07095,0.55162,0.98973,0.008416,0.008416,0.008416
18,4126.95,1.15882,0.63294,1.01404,0.80782,0.694,0.74533,0.45827,1.07246,0.54494,0.98897,0.008317,0.008317,0.008317
19,4354.83,1.15464,0.63031,1.01394,0.76157,0.70406,0.73304,0.45288,1.06675,0.54725,0.9858,0.008218,0.008218,0.008218
20,4582.8,1.14204,0.61971,1.01207,0.79106,0.72374,0.75443,0.47495,1.05424,0.53638,0.98231,0.008119,0.008119,0.008119
21,4810.89,1.15086,0.61786,1.01422,0.77114,0.71473,0.7498,0.46606,1.06164,0.53567,0.98534,0.00802,0.00802,0.00802
22,5038.3,1.13533,0.60805,1.01173,0.80484,0.71487,0.75903,0.47602,1.04539,0.52466,0.97913,0.007921,0.007921,0.007921
23,5266.36,1.12753,0.60064,1.00771,0.80483,0.71506,0.75119,0.47196,1.03641,0.51893,0.97721,0.007822,0.007822,0.007822
24,5494.64,1.12302,0.59452,1.00115,0.79314,0.71213,0.75376,0.47619,1.04028,0.52505,0.97591,0.007723,0.007723,0.007723
25,5722.55,1.12091,0.59626,1.00347,0.80721,0.71645,0.75551,0.48047,1.03716,0.51221,0.97724,0.007624,0.007624,0.007624
26,5950.22,1.11501,0.59335,1.00158,0.81532,0.71278,0.75188,0.47284,1.03642,0.51386,0.97824,0.007525,0.007525,0.007525
27,6178.08,1.10584,0.58281,1.00043,0.80974,0.72093,0.75884,0.47587,1.02888,0.50752,0.97653,0.007426,0.007426,0.007426
28,6406.03,1.09866,0.57741,0.99869,0.79499,0.7308,0.7606,0.4787,1.02902,0.50626,0.97401,0.007327,0.007327,0.007327
29,6634.12,1.10624,0.57426,0.99829,0.79437,0.73704,0.77028,0.48574,1.02628,0.49596,0.97439,0.007228,0.007228,0.007228
30,6862.3,1.09237,0.56676,0.99464,0.83035,0.71538,0.75984,0.48289,1.02226,0.4969,0.97131,0.007129,0.007129,0.007129
31,7090.66,1.0949,0.57057,0.99401,0.8017,0.73409,0.76594,0.48721,1.01338,0.49451,0.97265,0.00703,0.00703,0.00703
32,7319.29,1.09457,0.56688,0.99865,0.7811,0.74796,0.76769,0.48641,1.00689,0.4893,0.96946,0.006931,0.006931,0.006931
33,7548.79,1.08202,0.55947,0.99152,0.77129,0.73892,0.75622,0.47912,1.01868,0.49254,0.97372,0.006832,0.006832,0.006832
34,7778.74,1.08295,0.55816,0.99214,0.81673,0.72145,0.76735,0.49265,1.00578,0.48637,0.96928,0.006733,0.006733,0.006733
35,8008.41,1.07158,0.55504,0.98721,0.81337,0.73618,0.76967,0.49508,1.00328,0.48151,0.96996,0.006634,0.006634,0.006634
36,8237.81,1.07452,0.55627,0.98963,0.81789,0.72907,0.76895,0.49541,1.0024,0.47983,0.96839,0.006535,0.006535,0.006535
37,8466.75,1.06809,0.5509,0.98748,0.79518,0.74503,0.77605,0.49176,1.00316,0.47874,0.9679,0.006436,0.006436,0.006436
38,8695.54,1.07201,0.55101,0.98986,0.82146,0.75366,0.77759,0.50338,0.99658,0.4774,0.96616,0.006337,0.006337,0.006337
39,8924.18,1.06492,0.53924,0.98615,0.82033,0.73603,0.77515,0.4969,0.99583,0.47327,0.96409,0.006238,0.006238,0.006238
40,9153.07,1.06058,0.54327,0.9844,0.81008,0.74879,0.77576,0.50017,0.98873,0.46951,0.96188,0.006139,0.006139,0.006139
41,9382.53,1.0608,0.53994,0.97823,0.8237,0.73835,0.77455,0.50465,0.98615,0.46538,0.9641,0.00604,0.00604,0.00604
42,9611.97,1.05892,0.53695,0.98292,0.81517,0.74486,0.77892,0.50186,0.98862,0.469,0.96538,0.005941,0.005941,0.005941
43,9841.26,1.05392,0.53528,0.97995,0.8044,0.73985,0.77784,0.50478,0.98224,0.46333,0.96165,0.005842,0.005842,0.005842
44,10070.5,1.05024,0.52937,0.98187,0.81316,0.7506,0.78433,0.50368,0.9843,0.46294,0.96306,0.005743,0.005743,0.005743
45,10299.4,1.03796,0.52383,0.976,0.8069,0.76259,0.78397,0.50807,0.98241,0.46088,0.96112,0.005644,0.005644,0.005644
46,10528.1,1.04041,0.52338,0.97365,0.81757,0.74768,0.78211,0.51193,0.98118,0.46223,0.96081,0.005545,0.005545,0.005545
47,10756.3,1.04035,0.52611,0.97302,0.82788,0.73837,0.78457,0.50924,0.97968,0.45944,0.96032,0.005446,0.005446,0.005446
48,10984.2,1.02756,0.51746,0.96964,0.81476,0.74497,0.78471,0.5141,0.97532,0.4531,0.96,0.005347,0.005347,0.005347
49,11212.8,1.03848,0.52029,0.97498,0.81088,0.76179,0.78928,0.51298,0.97781,0.4569,0.9584,0.005248,0.005248,0.005248
50,11440.8,1.03229,0.51465,0.97225,0.83284,0.7371,0.7879,0.51488,0.97163,0.45611,0.9562,0.005149,0.005149,0.005149
51,11669,1.02143,0.50804,0.96395,0.8117,0.75846,0.78386,0.51038,0.97601,0.45355,0.95837,0.00505,0.00505,0.00505
52,11897.4,1.02297,0.50847,0.97003,0.8087,0.76274,0.78404,0.51183,0.97222,0.45229,0.9582,0.004951,0.004951,0.004951
53,12125.8,1.01475,0.5064,0.96708,0.80857,0.76769,0.78678,0.513,0.97232,0.44983,0.95848,0.004852,0.004852,0.004852
54,12353.9,1.01133,0.50342,0.96542,0.82467,0.75064,0.78741,0.51953,0.96796,0.44747,0.95623,0.004753,0.004753,0.004753
55,12581.8,1.00473,0.50092,0.96518,0.82197,0.74818,0.78581,0.51134,0.96994,0.44921,0.95833,0.004654,0.004654,0.004654
56,12809.7,1.0075,0.4957,0.96112,0.83361,0.74986,0.78876,0.51612,0.96569,0.44479,0.95731,0.004555,0.004555,0.004555
