epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,6499.82,1.05118,0.54357,0.95832,0.80535,0.74824,0.77381,0.50242,0.98535,0.47789,0.94683,0.005842,0.005842,0.005842
44,6650.57,1.04645,0.54023,0.95828,0.80946,0.74002,0.77159,0.50103,0.98357,0.47747,0.94589,0.005743,0.005743,0.005743
45,6801.53,1.03893,0.53783,0.95546,0.83248,0.71617,0.76548,0.49912,0.97633,0.47705,0.94501,0.005644,0.005644,0.005644
46,6952.91,1.03595,0.53199,0.95328,0.84209,0.73116,0.77011,0.50277,0.97643,0.47673,0.94492,0.005545,0.005545,0.005545
47,7104.5,1.04026,0.5396,0.95531,0.80902,0.74112,0.77471,0.50916,0.97866,0.47187,0.94489,0.005446,0.005446,0.005446
48,7256.12,1.02598,0.52726,0.94987,0.80752,0.74818,0.77638,0.50654,0.97282,0.46786,0.94386,0.005347,0.005347,0.005347
49,7407.63,1.03219,0.52794,0.95369,0.82172,0.74288,0.7787,0.50405,0.97648,0.46326,0.9446,0.005248,0.005248,0.005248
50,7559.11,1.02665,0.5236,0.95083,0.83124,0.7267,0.7706,0.50242,0.97354,0.46695,0.94364,0.005149,0.005149,0.005149
51,7710.66,1.01914,0.52035,0.9451,0.83062,0.73724,0.77312,0.50754,0.97305,0.46645,0.94317,0.00505,0.00505,0.00505
52,7862.27,1.01996,0.51616,0.94861,0.82545,0.73022,0.7693,0.50738,0.97029,0.46501,0.9423,0.004951,0.004951,0.004951
53,8014.22,1.01002,0.5139,0.94533,0.81886,0.74042,0.77203,0.50811,0.97085,0.46583,0.94288,0.004852,0.004852,0.004852
54,8165.68,1.00538,0.51508,0.94372,0.82497,0.7307,0.77549,0.50964,0.96775,0.46188,0.94281,0.004753,0.004753,0.004753
55,8317.6,1.00604,0.51401,0.94514,0.80058,0.74963,0.77735,0.51241,0.96203,0.45896,0.94041,0.004654,0.004654,0.004654
56,8469.19,1.0034,0.50614,0.93988,0.82948,0.73864,0.77738,0.51217,0.96322,0.45615,0.94163,0.004555,0.004555,0.004555
57,8620.81,0.99902,0.50152,0.93858,0.82238,0.75175,0.78297,0.51332,0.9637,0.45776,0.9416,0.004456,0.004456,0.004456
58,8771.89,1,0.50193,0.94073,0.8237,0.74692,0.78114,0.51312,0.96081,0.45482,0.94177,0.004357,0.004357,0.004357
59,8922.82,0.99767,0.5048,0.94027,0.83058,0.74466,0.77832,0.51126,0.95983,0.45564,0.94238,0.004258,0.004258,0.004258
60,9073.59,0.98894,0.49964,0.93889,0.83749,0.74319,0.78214,0.51531,0.95817,0.45451,0.9402,0.004159,0.004159,0.004159
61,9224.56,0.98254,0.49502,0.93778,0.83845,0.74494,0.7806,0.51416,0.9564,0.45196,0.93818,0.00406,0.00406,0.00406
62,9375.25,0.98438,0.49513,0.93603,0.84467,0.74099,0.78165,0.51641,0.95683,0.4531,0.93839,0.003961,0.003961,0.003961
63,9526.22,0.98654,0.49321,0.93375,0.81226,0.76131,0.77932,0.514,0.95641,0.45108,0.93899,0.003862,0.003862,0.003862
64,9677.19,0.98555,0.49411,0.93406,0.80621,0.76789,0.78226,0.5136,0.95846,0.45036,0.94013,0.003763,0.003763,0.003763
65,9827.98,0.97819,0.48973,0.93464,0.82907,0.75401,0.78674,0.51635,0.95526,0.45068,0.93902,0.003664,0.003664,0.003664
66,9978.65,0.97217,0.48546,0.93289,0.83553,0.7498,0.78522,0.51657,0.95953,0.44979,0.94094,0.003565,0.003565,0.003565
67,10129.8,0.97144,0.48621,0.93093,0.84421,0.74587,0.78793,0.51644,0.95829,0.44863,0.94046,0.003466,0.003466,0.003466
68,10280.6,0.96397,0.48039,0.92965,0.83654,0.74835,0.7828,0.51398,0.95714,0.44863,0.9408,0.003367,0.003367,0.003367
69,10431.5,0.95879,0.47597,0.92826,0.84061,0.74776,0.78284,0.51809,0.95624,0.44694,0.94021,0.003268,0.003268,0.003268
70,10582.3,0.95517,0.47536,0.92561,0.8491,0.74399,0.7835,0.5176,0.95433,0.44549,0.93965,0.003169,0.003169,0.003169
71,10733.1,0.9557,0.47205,0.92631,0.85279,0.7449,0.78737,0.51791,0.95278,0.44539,0.93895,0.00307,0.00307,0.00307
72,10884,0.9514,0.47181,0.92595,0.85256,0.74027,0.78769,0.51991,0.95118,0.44492,0.93892,0.002971,0.002971,0.002971
73,11034.8,0.95398,0.47287,0.92461,0.85554,0.739,0.78891,0.52038,0.94888,0.4441,0.93936,0.002872,0.002872,0.002872
74,11185.5,0.94352,0.46461,0.92521,0.82605,0.75497,0.78561,0.52224,0.94861,0.44187,0.94014,0.002773,0.002773,0.002773
75,11336.6,0.94772,0.46544,0.92191,0.82953,0.75196,0.7824,0.52052,0.94883,0.44095,0.93981,0.002674,0.002674,0.002674
76,11487.2,0.94416,0.46481,0.92114,0.82778,0.75238,0.78313,0.52007,0.94833,0.44009,0.94003,0.002575,0.002575,0.002575
77,11638.1,0.93582,0.45972,0.92121,0.84125,0.74938,0.78614,0.52052,0.94885,0.44112,0.94007,0.002476,0.002476,0.002476
78,11788.7,0.92678,0.45695,0.91815,0.83653,0.7528,0.78637,0.52132,0.94825,0.44101,0.93943,0.002377,0.002377,0.002377
79,11939.6,0.92948,0.4564,0.91883,0.84333,0.74838,0.78574,0.52152,0.94859,0.44061,0.93929,0.002278,0.002278,0.002278
80,12090.6,0.9327,0.45382,0.91805,0.83691,0.75101,0.78428,0.52195,0.94835,0.43992,0.93872,0.002179,0.002179,0.002179
81,12241.3,0.92692,0.4543,0.91593,0.83144,0.76229,0.78861,0.5237,0.94877,0.43948,0.93946,0.00208,0.00208,0.00208
82,12391.9,0.91558,0.44694,0.91443,0.84448,0.75731,0.78636,0.5229,0.94811,0.43969,0.93894,0.001981,0.001981,0.001981
83,12542.8,0.91653,0.44666,0.91573,0.8461,0.74987,0.78434,0.52258,0.94866,0.43967,0.93888,0.001882,0.001882,0.001882
84,12693.3,0.91298,0.44361,0.9143,0.85098,0.74576,0.78699,0.52153,0.94786,0.43967,0.93892,0.001783,0.001783,0.001783
85,12843.9,0.90944,0.44135,0.90928,0.85156,0.74341,0.78399,0.52091,0.9487,0.44031,0.93925,0.001684,0.001684,0.001684
86,12994.3,0.90916,0.43769,0.91199,0.8512,0.74528,0.78602,0.52141,0.94926,0.43885,0.93912,0.001585,0.001585,0.001585
87,13144.6,0.89901,0.43868,0.909,0.84688,0.74748,0.78437,0.52115,0.94944,0.43845,0.93919,0.001486,0.001486,0.001486
88,13295.6,0.89754,0.43489,0.90693,0.83927,0.74979,0.7826,0.51981,0.95007,0.43908,0.93977,0.001387,0.001387,0.001387
89,13447.3,0.89295,0.43158,0.90678,0.84517,0.74585,0.78371,0.51923,0.94977,0.43826,0.93987,0.001288,0.001288,0.001288
90,13598.3,0.88483,0.42612,0.90095,0.84764,0.75006,0.7851,0.52006,0.9498,0.43821,0.94031,0.001189,0.001189,0.001189
91,13748.6,0.864,0.4077,0.9039,0.85053,0.74781,0.78579,0.51991,0.95103,0.439,0.94068,0.00109,0.00109,0.00109
92,13897.5,0.85755,0.40395,0.90397,0.83813,0.75484,0.78537,0.51898,0.95111,0.43862,0.94092,0.000991,0.000991,0.000991
93,14046.3,0.84785,0.39664,0.89988,0.82958,0.75898,0.78882,0.51962,0.95229,0.43901,0.94122,0.000892,0.000892,0.000892
94,14195.2,0.84194,0.39461,0.89768,0.8229,0.76292,0.78728,0.51875,0.9528,0.43955,0.94158,0.000793,0.000793,0.000793
95,14344.1,0.83575,0.39101,0.89459,0.84369,0.74533,0.7852,0.51905,0.95323,0.44024,0.9421,0.000694,0.000694,0.000694
96,14493.2,0.83419,0.39045,0.89317,0.84283,0.74738,0.78535,0.51882,0.95386,0.44096,0.94234,0.000595,0.000595,0.000595
97,14642.8,0.83292,0.38739,0.89243,0.8469,0.74544,0.78578,0.51906,0.95416,0.44087,0.9426,0.000496,0.000496,0.000496
98,14791.8,0.82552,0.38632,0.88998,0.83932,0.74647,0.78559,0.51808,0.95441,0.44144,0.94291,0.000397,0.000397,0.000397
99,14940.7,0.82762,0.38598,0.89174,0.84539,0.74381,0.78494,0.51815,0.95505,0.44235,0.94323,0.000298,0.000298,0.000298
100,15089.2,0.82184,0.38266,0.89001,0.81656,0.76395,0.78302,0.5181,0.95576,0.44258,0.94349,0.000199,0.000199,0.000199
