epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,367.609,1.16345,1.50521,1.34035,0.75467,0.33912,0.35831,0.22155,1.07064,0.90286,1.25054,0.00332922,0.00332922,0.070037
2,733.482,1.12531,1.02204,1.28293,0.66429,0.35093,0.36668,0.21959,1.12301,0.91511,1.28544,0.00659659,0.00659659,0.0399711
3,1100.49,1.20049,1.10253,1.31928,0.71164,0.31531,0.35845,0.2072,1.20663,1.04375,1.33603,0.00979797,0.00979797,0.00983912
4,1468.21,1.25846,1.16757,1.36425,0.43761,0.35263,0.35226,0.20798,1.2075,1.00897,1.33964,0.009703,0.009703,0.009703
5,1832.93,1.23949,1.12964,1.35399,0.64664,0.35844,0.37849,0.22117,1.18891,0.98174,1.33057,0.009604,0.009604,0.009604
6,2192.78,1.21176,1.08892,1.33566,0.48078,0.37934,0.39849,0.23399,1.15559,0.91855,1.30769,0.009505,0.009505,0.009505
7,2552.01,1.20385,1.03582,1.31843,0.61748,0.36966,0.39467,0.23443,1.15711,0.9365,1.31248,0.009406,0.009406,0.009406
8,2910.13,1.1807,1.02283,1.30293,0.5607,0.40123,0.42119,0.24796,1.15266,0.89798,1.30475,0.009307,0.009307,0.009307
9,3271.4,1.17229,1.00517,1.30208,0.50881,0.41605,0.4161,0.24953,1.12944,0.84878,1.27388,0.009208,0.009208,0.009208
10,3630.49,1.16173,0.98357,1.29516,0.6058,0.41235,0.42953,0.25502,1.10964,0.84913,1.26222,0.009109,0.009109,0.009109
11,3988.58,1.14491,0.95706,1.28325,0.54771,0.43102,0.43805,0.2627,1.11889,0.8407,1.28013,0.00901,0.00901,0.00901
12,4347.81,1.1402,0.93586,1.28031,0.52674,0.43236,0.43418,0.26272,1.09266,0.81617,1.26212,0.008911,0.008911,0.008911
13,4705.49,1.12801,0.92304,1.27701,0.6041,0.4163,0.45004,0.275,1.08223,0.79927,1.24605,0.008812,0.008812,0.008812
14,5068.87,1.12037,0.91679,1.27126,0.54754,0.45157,0.46945,0.28311,1.07177,0.79075,1.2375,0.008713,0.008713,0.008713
15,5427.23,1.10869,0.90209,1.26261,0.53914,0.44034,0.46234,0.28285,1.07581,0.78169,1.24088,0.008614,0.008614,0.008614
16,5787.85,1.10556,0.8817,1.25596,0.58267,0.4818,0.48188,0.29437,1.0639,0.76975,1.22947,0.008515,0.008515,0.008515
17,6148.05,1.0941,0.87227,1.25309,0.63048,0.46067,0.48614,0.29572,1.05898,0.76535,1.22893,0.008416,0.008416,0.008416
18,6507.72,1.0878,0.87199,1.24839,0.59699,0.46123,0.48708,0.2989,1.04717,0.76524,1.22408,0.008317,0.008317,0.008317
19,6872.04,1.08377,0.85365,1.24878,0.58699,0.46835,0.48209,0.29778,1.04714,0.73746,1.21851,0.008218,0.008218,0.008218
20,7232.87,1.07859,0.84109,1.24165,0.55193,0.47279,0.48693,0.2996,1.04017,0.73278,1.21373,0.008119,0.008119,0.008119
21,7592.58,1.0727,0.83199,1.23453,0.55684,0.48774,0.48672,0.30518,1.03336,0.73413,1.2106,0.00802,0.00802,0.00802
22,7951.48,1.07049,0.8307,1.23838,0.60556,0.47225,0.49887,0.31168,1.03143,0.71413,1.21087,0.007921,0.007921,0.007921
23,8312.36,1.05615,0.81338,1.22221,0.61914,0.4921,0.50458,0.3151,1.01882,0.70636,1.20097,0.007822,0.007822,0.007822
24,8668.71,1.05336,0.80502,1.22385,0.61585,0.50424,0.5091,0.32228,1.01944,0.72645,1.19905,0.007723,0.007723,0.007723
25,9028.41,1.04967,0.80088,1.21885,0.62463,0.50885,0.52074,0.32633,1.016,0.70518,1.19291,0.007624,0.007624,0.007624
26,9386.87,1.04992,0.80202,1.22013,0.60283,0.49752,0.51517,0.3223,1.02363,0.70381,1.20169,0.007525,0.007525,0.007525
27,9753.88,1.04061,0.79094,1.21071,0.63106,0.50371,0.52506,0.32755,1.0136,0.68906,1.19463,0.007426,0.007426,0.007426
28,10123.4,1.03535,0.7871,1.2095,0.6186,0.50303,0.53067,0.33344,1.00766,0.69085,1.19615,0.007327,0.007327,0.007327
29,10500.8,1.03228,0.77669,1.20589,0.65293,0.5125,0.53145,0.33532,1.00362,0.68852,1.18859,0.007228,0.007228,0.007228
