epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,15555.3,0.98609,0.71082,1.09773,0.64505,0.53701,0.55526,0.35141,0.99552,0.66603,1.09033,0.005842,0.005842,0.005842
44,15916.1,0.98074,0.70707,1.09403,0.68386,0.54299,0.58837,0.37289,0.99028,0.66038,1.0822,0.005743,0.005743,0.005743
45,16277.7,0.97988,0.70429,1.09273,0.68857,0.54318,0.57499,0.36459,0.98548,0.65807,1.08377,0.005644,0.005644,0.005644
46,16641.7,0.97763,0.70428,1.09052,0.66103,0.58448,0.60245,0.37749,0.9842,0.65579,1.0828,0.005545,0.005545,0.005545
47,17002.1,0.96948,0.69806,1.08891,0.67653,0.56926,0.60033,0.37673,0.98887,0.64936,1.08483,0.005446,0.005446,0.005446
48,17362.5,0.97511,0.70013,1.09003,0.70783,0.54456,0.59255,0.37775,0.9832,0.64728,1.08072,0.005347,0.005347,0.005347
49,17726,0.96655,0.68781,1.08961,0.67982,0.55975,0.58385,0.37168,0.98171,0.65093,1.08167,0.005248,0.005248,0.005248
50,18086.6,0.95967,0.68781,1.08632,0.70283,0.52541,0.58381,0.36973,0.97883,0.64827,1.07883,0.005149,0.005149,0.005149
51,18450.8,0.96254,0.67738,1.0799,0.72119,0.54177,0.60178,0.38093,0.97726,0.64453,1.07622,0.00505,0.00505,0.00505
52,18812.3,0.94998,0.67047,1.07597,0.68466,0.56693,0.60151,0.37989,0.97993,0.64379,1.07911,0.004951,0.004951,0.004951
53,19173.7,0.95725,0.67201,1.07956,0.69855,0.54026,0.5809,0.37008,0.9781,0.64375,1.079,0.004852,0.004852,0.004852
54,19533.2,0.95078,0.66781,1.07763,0.70777,0.55207,0.59886,0.37884,0.97683,0.63916,1.07585,0.004753,0.004753,0.004753
55,19894.4,0.94551,0.66172,1.07234,0.71364,0.55739,0.59979,0.38086,0.97786,0.63589,1.08063,0.004654,0.004654,0.004654
56,20255.7,0.9417,0.65827,1.0698,0.70074,0.56148,0.59757,0.38181,0.97721,0.63075,1.07286,0.004555,0.004555,0.004555
57,20617.3,0.93981,0.65356,1.06859,0.66236,0.5768,0.60103,0.38515,0.97267,0.62895,1.07241,0.004456,0.004456,0.004456
58,20977.5,0.93657,0.64997,1.06785,0.63751,0.59389,0.5999,0.3844,0.97229,0.63115,1.07665,0.004357,0.004357,0.004357
59,21340.1,0.93513,0.64251,1.06705,0.64395,0.58031,0.59219,0.38241,0.97053,0.62796,1.07336,0.004258,0.004258,0.004258
60,21701.5,0.9315,0.64528,1.06647,0.66921,0.57605,0.60491,0.39054,0.97334,0.62612,1.07551,0.004159,0.004159,0.004159
61,22062.5,0.92765,0.63688,1.06292,0.71504,0.55433,0.59828,0.3847,0.9699,0.62809,1.07148,0.00406,0.00406,0.00406
62,22424.1,0.92736,0.63647,1.06083,0.7335,0.54579,0.60804,0.38759,0.96792,0.62372,1.07094,0.003961,0.003961,0.003961
63,22788.3,0.92036,0.62965,1.05868,0.67241,0.58212,0.60385,0.38443,0.96867,0.62254,1.07382,0.003862,0.003862,0.003862
64,23150.4,0.91514,0.62226,1.05471,0.67981,0.60449,0.61742,0.3935,0.96771,0.61624,1.07181,0.003763,0.003763,0.003763
65,23513.6,0.90868,0.61847,1.05234,0.69281,0.59259,0.61459,0.39187,0.9689,0.61937,1.07272,0.003664,0.003664,0.003664
66,23876.2,0.90984,0.61855,1.05164,0.69255,0.56842,0.60858,0.39094,0.96665,0.61992,1.07229,0.003565,0.003565,0.003565
