epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,6364.11,1.02866,0.52582,0.95111,0.83931,0.73066,0.77394,0.50776,0.98703,0.46934,0.9484,0.005842,0.005842,0.005842
44,6512.55,1.02591,0.52251,0.95177,0.82653,0.72554,0.77505,0.50259,0.98001,0.46944,0.94696,0.005743,0.005743,0.005743
45,6661.13,1.01463,0.51601,0.94786,0.83183,0.72879,0.77047,0.50521,0.97694,0.46849,0.9449,0.005644,0.005644,0.005644
46,6809.9,1.01261,0.51371,0.94447,0.81379,0.74873,0.77794,0.50956,0.97527,0.46123,0.94438,0.005545,0.005545,0.005545
47,6958.67,1.01467,0.51877,0.94675,0.82433,0.74626,0.77555,0.50631,0.97539,0.46402,0.94431,0.005446,0.005446,0.005446
48,7107.42,1.00585,0.50858,0.94333,0.82143,0.75364,0.78355,0.5134,0.97461,0.45936,0.94657,0.005347,0.005347,0.005347
49,7256.11,1.01202,0.51034,0.94633,0.82567,0.74424,0.77849,0.50896,0.97658,0.46256,0.94531,0.005248,0.005248,0.005248
50,7404.98,1.00381,0.50592,0.94297,0.82565,0.74139,0.78184,0.50837,0.97189,0.45812,0.94388,0.005149,0.005149,0.005149
51,7553.65,0.9943,0.50103,0.93636,0.81375,0.74187,0.77335,0.50714,0.9738,0.45679,0.94532,0.00505,0.00505,0.00505
52,7701.86,0.99505,0.50012,0.94065,0.82389,0.7388,0.777,0.51161,0.9702,0.45714,0.94572,0.004951,0.004951,0.004951
53,7849.77,0.98629,0.49494,0.93832,0.8236,0.74138,0.77914,0.51447,0.96759,0.45318,0.94189,0.004852,0.004852,0.004852
54,7997.71,0.98281,0.49756,0.93586,0.82693,0.73219,0.77492,0.51023,0.96904,0.4574,0.94378,0.004753,0.004753,0.004753
55,8145.91,0.98166,0.49275,0.93657,0.81686,0.75163,0.78777,0.51575,0.96302,0.45146,0.94173,0.004654,0.004654,0.004654
56,8293.95,0.97874,0.48624,0.93112,0.81623,0.74227,0.78074,0.51505,0.96005,0.44991,0.9408,0.004555,0.004555,0.004555
57,8441.83,0.97285,0.48298,0.93029,0.82776,0.75007,0.78459,0.51652,0.96083,0.44914,0.94219,0.004456,0.004456,0.004456
58,8589.71,0.97407,0.48282,0.93247,0.8248,0.74161,0.78429,0.51816,0.96236,0.44901,0.94315,0.004357,0.004357,0.004357
59,8737.53,0.9708,0.48825,0.93201,0.80906,0.74914,0.77929,0.51616,0.95735,0.4489,0.942,0.004258,0.004258,0.004258
60,8885.41,0.96355,0.48111,0.93024,0.82037,0.74549,0.77835,0.51617,0.95644,0.45144,0.9406,0.004159,0.004159,0.004159
61,9033.28,0.9544,0.47375,0.92837,0.82525,0.74294,0.77951,0.51402,0.95649,0.4479,0.94135,0.00406,0.00406,0.00406
62,9181.1,0.95522,0.47594,0.92612,0.84626,0.74398,0.78364,0.51609,0.95947,0.44861,0.94133,0.003961,0.003961,0.003961
